"ID","sex","origin","2011_04","2011_05","2011_08","2011_09","2011_11","2012_02","2012_05","2013_01","2013_07","2014_06","2015_03","2016_03","2016_08","2017_03","2017_08","2018_02","2018_08","2019_09","2021_02","2021_06"
"2011_024","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_025","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_026","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_027","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_028","female","T",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_029","female","T",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_030","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_031","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_038","female","T",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"2011_063","male","W",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_064","female","W",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_065","female","W",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_066","male","W",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_068","female","W",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2012_003","female","W",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012_005","female","W",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"2012_006","male","W",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2012_008","male","W",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013_001","female","W",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2013_002","female","W",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2013_003","male","W",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
"2013_004","female","W",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2013_006","female","W",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"2013_007","female","W",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2013_008","female","W",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2013_009","male","W",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2013_010","male","W",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2013_011","female","W",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"2013_012","female","W",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2012_002","female","W",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2013_013","male","W",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"2013_014","female","W",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"2014_002","male","W",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
"2014_003","female","W",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2014_005","female","W",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2014_006","female","W",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2014_007","male","W",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2014_009","female","W",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2014_010","female","W",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2014_011","female","W",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"2014_012","female","W",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2014_013","male","W",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2015_001","female","W",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"2015_003","female","W",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"2015_004","female","W",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2015_005","female","W",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2015_006","female","W",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"2015_007","female","W",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2015_008","female","W",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2016_001","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_005","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"2016_006","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_007","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_008","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_010","female","W",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
"2016_011","male","W",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"2016_012","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_013","male","W",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"2016_014","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"2016_015","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_016","female","W",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"2016_018","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_019","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"2016_020","male","W",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"2016_009","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_021","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_023","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_024","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_026","male","W",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"2016_027","female","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_028","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2016_029","male","W",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"2016_030","female","W",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"2015_002","male","W",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
